time,total_V,total_U,total_D,thermometer,indicator,kappa,gini_coefficient,circulation_rate
1,24393606.20518079,28697.547736589197,24422303.75291739,1.0011764372801306,0.0011764372801306155,0.999882356271987,0.671873583661273,0.0011764372801301647
2,24362450.81359305,59842.19172333453,24422293.0053164,1.0024563288883055,0.0024563288883054923,0.9997543671111695,0.6718804339570343,0.002456328888304847
3,24357422.100182842,64869.655116162474,24422291.75529902,1.0026632397652497,0.0026632397652497364,0.9997336760234751,0.6718795519879177,0.0026632397652490295
4,24355888.985319946,66402.76997905792,24422291.75529902,1.002726353779125,0.0027263537791248904,0.9997273646220876,0.6718795519879177,0.0027263537791242577
5,24352894.83406211,69396.89866776348,24422291.73272989,1.0028496365274289,0.002849636527428867,0.9997150363472571,0.6718796285992097,0.002849636527428306
6,24350376.854058955,71910.11120278767,24422286.965261757,1.0029531416139383,0.002953141613938337,0.9997046858386062,0.6718852562931465,0.0029531416139377325
7,24348710.518608358,73576.44665338476,24422286.965261757,1.0030217800074943,0.0030217800074943124,0.9996978219992506,0.6718852562931465,0.003021780007493801
8,24347432.159987103,74746.99927329701,24422179.15926042,1.003070015711807,0.0030700157118070948,0.9996929984288193,0.6717131355784001,0.0030700157118062426
9,24340486.655468952,81675.10926181909,24422161.764730785,1.0033555249086805,0.0033555249086805183,0.999664447509132,0.6717037421558596,0.003355524908679995
10,24334667.041638393,87344.31530572697,24422120.822249465,1.0035937940084174,0.003593794008417417,0.9996406205991583,0.6713419201568318,0.003589295680778145
11,24330656.254119594,91334.75138936304,24422100.47081431,1.0037583949951714,0.003758394995171388,0.9996241605004829,0.6713275457070276,0.003753895926004812
12,24327574.12680992,94397.18607376779,24422080.77818904,1.0038847544307745,0.0038847544307745174,0.9996115245569226,0.6713440222172047,0.0038802547916086077
13,24326584.022558786,95358.2450310766,24422051.732895214,1.0039244190737138,0.00392441907371377,0.9996075580926286,0.6713201583507886,0.003919919251410226
14,24322733.959501438,99170.5130412502,24422013.93784804,1.0040817770942982,0.0040817770942982445,0.9995918222905702,0.6712995112841225,0.004077276559714629
15,24307830.882003166,113961.72438845094,24421902.071696963,1.0046927753548858,0.00469277535488577,0.9995307224645115,0.6710645442391119,0.00468827206103466
16,24303109.741620086,118634.9474297846,24421854.15435522,1.0048859760745672,0.0048859760745672,0.9995114023925433,0.6710328790647895,0.004881471905902533
17,24288177.50636322,133480.48866114608,24421767.46032971,1.005500204942569,0.005500204942568976,0.9994499795057431,0.6709462882443977,0.005495698004766959
18,24276916.53209178,144711.3911769159,24421737.388574045,1.005965372756084,0.0059653727560839975,0.9994034627243916,0.6709546616927906,0.005960863727715222
19,24275122.312743977,146471.91829129713,24421703.696340617,1.0060383375913904,0.006038337591390386,0.9993961662408609,0.6709214022353456,0.006033828229751171
20,24271114.30383098,150380.0891897337,24421603.858326066,1.0062003562181459,0.006200356218145853,0.9993799643781854,0.6706459694977931,0.006195846111853115
21,24242826.402859397,178598.2289399518,24421534.0971047,1.0073715700997727,0.00737157009977274,0.9992628429900228,0.6705316208311776,0.007367054730833137
22,24239509.587197773,181885.65093176745,24421504.703434892,1.0075082012522745,0.007508201252274471,0.9992491798747726,0.6705414430906287,0.007503685265473825
23,24237271.262356788,184064.69690736246,24421445.424569502,1.0075987993953246,0.007598799395324596,0.9992401200604676,0.6704564514200813,0.00759428299147007
24,24171401.253054768,249766.8564149478,24421277.57477506,1.0103376845679855,0.01033768456798545,0.9989662315432014,0.6701981362376381,0.010333155856381409
25,24162785.03499233,258323.17836432662,24421217.678662002,1.0106954824659249,0.010695482465924888,0.9989304517534076,0.6702224951266549,0.010690952139425372
26,24154836.71674654,266245.1660179051,24421191.34806979,1.0110269688198135,0.011026968819813465,0.9988973031180186,0.6702084476769259,0.011022437002578347
27,24147059.739278525,273953.66223948414,24421122.866823357,1.011349751502003,0.011349751502002903,0.9988650248497997,0.6702164680874052,0.011345218225217736
